CIEL_L,CIEL_a,CIEL_b,mixed_term
91.08,5.53,2.22,xanh
81.35,23.67,9.47,xanh
71.6,32.18,12.57,xanh
61.7,49.42,18.23,xanh
51.57,59.36,19.67,nila
41.22,61.4,17.92,nila
30.77,47.34,12.58,xanh
20.54,36.82,3.13,xanh
91.08,3.14,12.37,xanh
81.35,14.98,47.04,vermell
71.6,24.12,84.39,vermell
61.7,22.09,71.31,vermell
51.57,19.79,58.75,vermell
41.22,17.04,45.95,hitam
30.77,13.89,33.8,hitam
20.54,10.16,21.44,hitam
91.08,-16.65,44.66,hitam
81.35,-26.04,85.63,hitam
71.6,-24.87,85.15,hitam
61.7,-21.81,70.54,hitam
51.57,-18.37,55.88,hitam
41.22,-14.57,40.52,hitam
30.77,-10.05,24.97,hitam
20.54,-4.47,9.36,kek
91.08,-12.29,10.56,xanh
81.35,-38.45,34.02,gris
71.6,-46.7,41.31,gris
61.7,-55.94,49.19,gris
51.57,-56.86,49.22,gris
41.22,-38.39,31.53,gris
30.77,-27.26,20.69,hitam
20.54,-16.46,11.28,kek
91.08,-13.22,3.82,xanh
81.35,-33.63,8.67,lam
71.6,-41.85,9.77,gris
61.7,-52.09,10.63,gris
51.57,-52.69,9.7,gris
41.22,-53.43,8.61,gris
30.77,-49.93,6.94,gris
20.54,-27.43,4.26,kek
91.08,-12.96,2.42,xanh
81.35,-33.04,4.96,lam
71.6,-41.54,5.41,lam
61.7,-51.88,5.51,gris
51.57,-51.99,4.46,gris
41.22,-52.68,3.36,gris
30.77,-39.18,2.14,kek
20.54,-26.87,1.22,kek
91.08,-11.94,-0.27,xanh
81.35,-21.19,-1.35,lam
71.6,-39.21,-4.56,lam
61.7,-39.17,-5.88,lam
51.57,-38.59,-7.0,lam
41.22,-39.09,-8.33,kek
30.77,-27.32,-6.72,kek
20.54,-16.13,-4.67,kek
91.08,-0.37,-5.58,xanh
81.35,-0.24,-24.03,xanh
71.6,0.85,-31.32,xanh
61.7,2.64,-39.49,xanh
51.57,5.02,-48.35,xanh
41.22,7.17,-48.94,xanh
30.77,7.86,-43.39,xanh
20.54,7.63,-35.92,xanh
91.08,2.95,-4.85,xanh
81.35,8.19,-12.62,xanh
71.6,13.67,-19.66,xanh
61.7,20.07,-26.92,xanh
51.57,27.4,-33.72,xanh
41.22,29.49,-34.06,xanh
30.77,33.51,-35.69,xanh
20.54,26.82,-27.84,xanh
91.08,3.36,-4.24,xanh
81.35,9.68,-11.26,xanh
71.6,16.13,-17.52,xanh
61.7,23.29,-23.79,xanh
51.57,31.24,-29.94,xanh
41.22,33.08,-30.5,xanh
30.77,36.9,-32.14,xanh
20.54,29.26,-25.01,xanh
91.08,4.31,-2.82,xanh
81.35,18.74,-12.74,xanh
71.6,26.62,-18.32,xanh
61.7,34.47,-24.03,xanh
51.57,35.21,-24.66,xanh
41.22,36.48,-25.75,xanh
30.77,39.78,-27.99,xanh
20.54,22.74,-16.65,xanh
91.08,5.04,-1.14,xanh
81.35,22.62,-5.51,xanh
71.6,38.97,-10.98,xanh
61.7,38.67,-11.63,xanh
51.57,48.98,-15.95,xanh
41.22,49.84,-17.34,xanh
30.77,44.87,-16.65,xanh
20.54,34.44,-14.69,xanh
91.08,5.27,-0.1,xanh
81.35,23.53,-0.96,xanh
71.6,40.04,-2.7,xanh
61.7,40.07,-3.44,xanh
51.57,51.2,-5.84,xanh
41.22,51.84,-8.08,xanh
30.77,46.25,-9.51,xanh
20.54,35.44,-10.4,xanh
91.08,5.41,0.74,xanh
81.35,23.82,2.52,xanh
71.6,32.47,2.76,xanh
61.7,49.38,2.78,xanh
51.57,59.69,1.53,xanh
41.22,52.58,-0.05,xanh
30.77,46.93,-2.51,xanh
20.54,35.97,-6.33,xanh
91.08,5.51,3.28,xanh
81.35,23.18,13.11,xanh
71.6,31.7,17.23,xanh
61.7,48.53,25.92,nila
51.57,58.01,30.52,nila
41.22,59.5,30.17,nila
30.77,46.08,20.6,xanh
20.54,36.64,9.24,xanh
91.08,5.54,4.46,xanh
81.35,22.67,17.48,xanh
71.6,38.22,29.22,nila
61.7,46.38,35.47,nila
51.57,55.76,42.05,nila
41.22,56.6,40.99,nila
30.77,52.68,34.06,nila
20.54,35.15,15.44,xanh
91.08,5.43,5.64,xanh
81.35,21.06,22.4,xanh
71.6,34.96,37.54,nila
61.7,49.15,56.82,nila
51.57,55.2,68.32,nila
41.22,51.06,58.81,nila
30.77,40.89,36.03,nila
20.54,25.15,16.6,xanh
91.08,5.21,7.67,xanh
81.35,18.52,26.72,xanh
71.6,30.67,44.56,nila
61.7,44.69,79.79,vermell
51.57,40.53,69.04,vermell
41.22,32.37,46.62,nila
30.77,28.16,36.05,nila
20.54,15.99,14.49,xanh
91.08,-0.46,29.79,xanh
81.35,7.28,109.12,vermell
71.6,6.22,81.95,vermell
61.7,5.87,68.59,vermell
51.57,5.33,54.9,hitam
41.22,4.42,40.43,hitam
30.77,3.1,25.71,hitam
20.54,1.58,11.89,kek
91.08,-5.25,45.24,hitam
81.35,-3.69,100.18,hitam
71.6,-2.3,85.64,hitam
61.7,-1.4,71.61,vermell
51.57,-0.48,57.27,hitam
41.22,-0.21,42.37,hitam
30.77,-0.15,26.58,hitam
20.54,-0.11,12.03,kek
91.08,-9.03,45.94,hitam
81.35,-10.94,87.9,hitam
71.6,-9.51,87.14,hitam
61.7,-7.92,73.21,hitam
51.57,-6.4,58.71,hitam
41.22,-4.87,43.26,hitam
30.77,-3.32,26.87,hitam
20.54,-1.74,11.57,kek
91.08,-14.67,29.61,xanh
81.35,-30.49,65.57,hitam
71.6,-34.49,79.15,hitam
61.7,-30.13,65.11,hitam
51.57,-25.02,50.55,hitam
41.22,-19.48,36.56,hitam
30.77,-13.04,21.97,hitam
20.54,-5.36,7.98,kek
91.08,-10.76,13.38,xanh
81.35,-40.58,54.46,hitam
71.6,-40.28,53.23,hitam
61.7,-46.97,64.65,hitam
51.57,-40.14,52.84,hitam
41.22,-33.18,41.15,hitam
30.77,-23.96,27.29,hitam
20.54,-14.85,15.25,kek
91.08,-13.13,7.63,xanh
81.35,-42.41,23.78,gris
71.6,-51.55,27.69,gris
61.7,-51.58,26.3,gris
51.57,-63.28,28.95,gris
41.22,-53.57,23.28,gris
30.77,-39.23,16.6,gris
20.54,-17.35,7.46,kek
91.08,-13.24,5.48,xanh
81.35,-33.8,12.41,lam
71.6,-41.95,14.43,gris
61.7,-52.22,16.26,gris
51.57,-52.87,15.46,gris
41.22,-54.08,14.27,gris
30.77,-39.62,10.61,gris
20.54,-27.79,7.33,kek
91.08,-10.86,-2.13,xanh
81.35,-19.64,-4.3,lam
71.6,-27.52,-7.11,lam
61.7,-36.77,-10.9,lam
51.57,-36.19,-11.99,lam
41.22,-36.33,-13.61,kek
30.77,-25.67,-10.89,kek
20.54,-15.07,-7.11,kek
91.08,-7.96,-4.41,xanh
81.35,-16.44,-9.33,lam
71.6,-22.32,-14.67,lam
61.7,-29.22,-21.27,lam
51.57,-27.95,-22.24,lam
41.22,-20.46,-17.64,kek
30.77,-19.73,-18.89,kek
20.54,-11.72,-12.03,kek
91.08,-6.32,-5.08,xanh
81.35,-13.22,-11.59,lam
71.6,-18.37,-18.07,lam
61.7,-22.98,-25.73,lam
51.57,-21.72,-26.63,xanh
41.22,-21.08,-28.21,kek
30.77,-15.41,-22.0,kek
20.54,-9.52,-13.99,kek
91.08,-1.49,-5.61,xanh
81.35,-5.05,-23.28,xanh
71.6,-5.09,-30.75,xanh
61.7,-4.52,-39.18,xanh
51.57,-3.41,-48.08,xanh
41.22,-2.09,-40.81,xanh
30.77,0.29,-43.03,xanh
20.54,0.11,-26.61,kek
91.08,1.12,-5.38,xanh
81.35,3.22,-14.27,xanh
71.6,6.06,-22.71,xanh
61.7,9.58,-30.64,xanh
51.57,14.19,-39.14,xanh
41.22,20.81,-48.05,xanh
30.77,25.75,-49.63,xanh
20.54,23.81,-41.87,xanh
91.08,2.19,-4.93,xanh
81.35,5.82,-13.42,xanh
71.6,10.25,-21.6,xanh
61.7,15.28,-29.05,xanh
51.57,22.05,-37.02,xanh
41.22,24.29,-38.02,xanh
30.77,28.36,-39.75,xanh
20.54,23.12,-31.33,xanh
91.08,4.7,-2.0,xanh
81.35,21.03,-9.69,xanh
71.6,29.26,-13.95,xanh
61.7,37.1,-18.34,xanh
51.57,46.17,-23.4,xanh
41.22,46.93,-24.7,xanh
30.77,42.44,-23.6,xanh
20.54,24.14,-14.33,xanh
91.08,5.44,1.5,xanh
81.35,23.74,6.18,xanh
71.6,32.41,7.97,xanh
61.7,49.67,10.71,xanh
51.57,59.79,10.72,xanh
41.22,61.57,8.63,xanh
30.77,47.63,5.24,xanh
20.54,36.42,-2.08,xanh
91.08,1.28,14.41,xanh
81.35,15.1,90.21,vermell
71.6,15.62,90.72,vermell
61.7,14.45,76.93,vermell
51.57,13.12,63.99,vermell
41.22,9.31,37.8,hitam
30.77,9.51,37.16,hitam
20.54,3.62,11.09,kek
91.08,-12.17,45.9,hitam
81.35,-17.25,87.99,hitam
71.6,-15.98,87.62,hitam
61.7,-14.02,73.17,hitam
51.57,-11.71,58.46,hitam
41.22,-9.31,43.05,hitam
30.77,-6.44,26.57,hitam
20.54,-3.09,10.75,kek
91.08,-12.69,1.23,xanh
81.35,-32.18,1.81,lam
71.6,-40.91,1.15,lam
61.7,-41.11,0.19,lam
51.57,-51.2,-1.36,gris
41.22,-41.21,-2.07,gris
30.77,-29.07,-1.92,kek
20.54,-17.18,-1.47,kek
91.08,-3.48,-5.55,xanh
81.35,-6.82,-13.92,xanh
71.6,-12.05,-29.46,xanh
61.7,-13.07,-37.55,xanh
51.57,-11.88,-38.56,xanh
41.22,-10.54,-39.65,xanh
30.77,-7.86,-33.8,kek
20.54,-5.25,-25.49,kek
91.08,4.3,10.08,xanh
81.35,14.87,30.96,xanh
71.6,32.89,77.02,vermell
61.7,29.38,64.4,vermell
51.57,29.45,64.44,vermell
41.22,22.15,41.13,nila
30.77,18.18,30.27,hitam
20.54,13.28,18.21,xanh
91.08,-9.69,-3.22,xanh
81.35,-18.27,-7.01,lam
71.6,-25.13,-11.03,lam
61.7,-33.16,-16.42,lam
51.57,-32.36,-17.71,lam
41.22,-24.01,-14.24,kek
30.77,-22.84,-15.29,kek
20.54,-13.39,-9.92,kek
91.08,-4.65,-5.34,xanh
81.35,-10.44,-12.79,lam
71.6,-14.22,-19.9,lam
61.7,-16.81,-28.31,xanh
51.57,-15.72,-29.08,xanh
41.22,-14.67,-30.69,xanh
30.77,-10.88,-24.2,kek
20.54,-9.22,-24.04,kek
